"Feature","Feature Type","feature subtype","Feature Description","Origin","Insertion","region","subregion","featurelocation","Bone/joint","Nerve","Joint","lateral margin","medial margin","floor","roof","apex","base","anterior margin"," posterior margin"
"inferior angle","Boney feature",,"angle made between the intersection of the medial and lateral borders of the scapula","teres major",,,,"lateral inferior scapula","scapula",,,,,,,,,,
"spine of scapula","Boney feature",,"Boney spine separating superior and inferior scapula",,,,,"posterior surface","scapula",,,,,,,,,,
"insertion of serratus anterior","Boney feature","insertion","posterior surface of scapula",,"serratus anterior","torso","back","medial border of scapula","scapula",,,,,,,,,,
"insertion of levator scapulae","Boney feature","insertion","from superior angle to root of spine",,"lavator scapulae","torso","back","medial border of scapula","scapula",,,,,,,,,,
"insertion of rhomboid major","Boney feature","insertion","from spine root to inferior angle",,"Rhomboid major","torso","back","medial border of scapula","scapula",,,,,,,,,,
"suprascapular notch","Boney feature","notch","upper two thirds of lateral border of scapula",,,"torso","back",,"scapula",,,,,,,,,,
"lateral angle","Boney feature",,"marked by a shallow glenoid cavity",,,"torso","back","superior border of scapula","scapula",,,,,,,,,,
"lesser tubercle","Boney feature","tubercle","Tubercle on humerus",,,"upper limb","arm","proximal humerus","humerus",,,,,,,,,,
"anterior surface of humerus","Boney feature",,"origin of brachialis muscle on humerus","brachialis",,"upper limb","arm","proximal humerus","humerus",,"elbow",,,,,,,,
"medial surface of humerus","Boney feature",,,"Coracobrachialis",,"upper limb","arm",,"humerus",,"glenohumeral joint",,,,,,,,
"intertubercular sulcus","Boney feature","sulcus","separates the lesser and greater tubercles and continues inferiorly onto the proximal shaft of the humerus",,"pectoralis major","upper limb","arm","proximal humerus lateral lip of sulcus","humerus",,"glenohumeral joint",,,,,,,,
"intertubercular sulcus","Boney feature","sulcus","separates the lesser and greater tubercles and continues inferiorly onto the proximal shaft of the humerus",,"teres major","upper limb","arm","proximal humerus medial lip of sulcus","humerus",,"glenohumeral joint",,,,,,,,
"intertubercular sulcus floor","Boney feature","sulcus","separates the lesser and greater tubercles and continues inferiorly onto the proximal shaft of the humerus",,"latissimus dorsi","upper limb","arm","proximal humerus floor of sulcus","humerus",,"glenohumeral joint",,,,,,,,
"deltoid tuberosity","Boney feature","tuberosity","insertion of deltoid muscle",,"deltoid","upper limb","arm","shaft of humerus","humerus",,"glenohumeral joint",,,,,,,,
"radial groove","Boney feature","groove","radial nerve wraps around humeral shaft",,,"upper limb","arm","shaft of humerus","humerus","radial nerve",,,,,,,,,
"posterior surface of humerus inferior to the radial groove","Boney feature",,"posterior surface of humerus inferior to the radial groove","Triceps brachii Medial head",,"upper limb","arm","shaft of humerus","humerus",,"elbow",,,,,,,,
"posterior surface of humerus superior the radial groove","Boney feature",,"posterior surface of humerus superior the radial groove","Triceps brachii Lateral head",,"upper limb","arm","shaft of humerus","humerus",,"elbow",,,,,,,,
"Medial supracondylar ridge","Boney feature","ridge","Medial supracondylar ridge",,"Pronator teres","upper limb","arm","distal humerus","humerus",,,,,,,,,,
"Lateral supracondylar ridge ","Boney feature","ridge","Lateral supracondylar ridge ","Brachioradialis",,"upper limb","arm","distal humerus","humerus",,"elbow",,,,,,,,
"Lateral supraepicondylar Ridge","Boney feature","ridge","Lateral supraepicondylar Ridge of humerus and intermuscular septum ","Extensor carpi radialis longus ",,"upper limb","arm","distal humerus","humerus",,,,,,,,,,
"medial epicondyle","Boney feature","epicondyle","origin of flexor digitorum superficialis, flexor carpi radialis, flexor carpi ulnaris and palmaris longus","Flexor digitorum superficialis",,"upper limb","arm","elbow joint","humerus",,,,,,,,,,
"medial epicondyle","Boney feature","epicondyle","origin of flexor digitorum superficialis, flexor carpi radialis, flexor carpi ulnaris and palmaris longus","Flexor carpi ulnaris ",,"upper limb","arm","elbow joint","humerus",,,,,,,,,,
"medial epicondyle","Boney feature","epicondyle","origin of flexor digitorum superficialis, flexor carpi radialis, flexor carpi ulnaris and palmaris longus","Flexor carpi radialis",,"upper limb","arm","elbow joint","humerus",,,,,,,,,,
"medial epicondyle","Boney feature","epicondyle","origin of flexor digitorum superficialis, flexor carpi radialis, flexor carpi ulnaris and palmaris longus","Palmaris longus",,"upper limb","arm","elbow joint","humerus",,,,,,,,,,
"medial epicondyle","Boney feature","epicondyle","origin of flexor digitorum superficialis, flexor carpi radialis, flexor carpi ulnaris and palmaris longus",,,"upper limb","arm","elbow joint","humerus",,,,,,,,,,
"margin of the coronoid process","Boney feature",,,,,"upper limb","arm","elbow joint",,,,,,,,,,,
"lateral epicondyle","Boney feature","epicondyle","origin of extensor carpi radialis brevis, extensor carpi ulnaris, extensor digitorum, extensor digiti minimi, anconeus and supinator superficial head","Extensor carpi radialis brevis ",,"upper limb","arm","elbow joint","humerus",,,,,,,,,,
"lateral epicondyle","Boney feature","epicondyle","origin of extensor carpi radialis brevis, extensor carpi ulnaris, extensor digitorum, extensor digiti minimi, anconeus and supinator superficial head","Extensor carpi ulnaris ",,"upper limb","arm","elbow joint","humerus",,,,,,,,,,
"lateral epicondyle","Boney feature","epicondyle","origin of extensor carpi radialis brevis, extensor carpi ulnaris, extensor digitorum, extensor digiti minimi, anconeus and supinator superficial head","Extensor digitorum ",,"upper limb","arm","elbow joint","humerus",,,,,,,,,,
"lateral epicondyle","Boney feature","epicondyle","origin of extensor carpi radialis brevis, extensor carpi ulnaris, extensor digitorum, extensor digiti minimi, anconeus and supinator superficial head","Extensor digiti minimi ",,"upper limb","arm","elbow joint","humerus",,,,,,,,,,
"lateral epicondyle","Boney feature","epicondyle","origin of extensor carpi radialis brevis, extensor carpi ulnaris, extensor digitorum, extensor digiti minimi, anconeus and supinator superficial head","Anconeus ",,"upper limb","arm","elbow joint","humerus",,,,,,,,,,
"lateral epicondyle","Boney feature","epicondyle","origin of extensor carpi radialis brevis, extensor carpi ulnaris, extensor digitorum, extensor digiti minimi, anconeus and supinator superficial head","Supinator superficial head
",,"upper limb","arm","elbow joint","humerus",,,,,,,,,,
"capitulum","Boney feature",,"articulates with radius",,,"upper limb",,"elbow joint",,,"elbow",,,,,,,,
"trochlea","Boney feature",,"articulates with ulna",,,"upper limb",,"elbow joint",,,"elbow",,,,,,,,
"coronoid fossa","Boney feature","fossa","receives coronoid process of ulna",,,"upper limb",,"elbow joint",,,"elbow",,,,,,,,
"olecranon fossa","Boney feature","fossa","receives olecranon of ulna",,,"upper limb",,"elbow joint",,,"elbow",,,,,,,,
"radial fossa","Boney feature","fossa","accomodates the edge of the head of the radius when the forearm is fully flexed",,,"upper limb",,"elbow joint",,,"elbow",,,,,,,,
"interosseous membrane","Ligament",,"membrane between radius and ulna has attachments of abductor pollicis longus, extensor pollicus longus, extensor pollicis brevis and extensor indicis",,,"upper limb",,"Posterior surface of ulna","ulna",,,,,,,,,,
"ulnar tuberosity","Boney feature","tuberosity","Brachialis","Brachialis",,"upper limb",,,"ulna",,,,,,,,,,
"trochlear fossa","Boney feature","fossa",,,,"upper limb",,,"ulna",,,,,,,,,,
"olecranon  and posterior border","Boney feature",,"Anconeus ",,"Anconeus ","upper limb",,,"ulna",,,,,,,,,,
"olecranon  and posterior border","Boney feature",,"Origin of Flexor carpi ulnaris insertion of anconeus",,"Flexor carpi ulnaris ","upper limb",,,"ulna",,,,,,,,,,
"olecranon  ","Boney feature",,"Eblow jioint and easily plalpated. Insertion for Triceps brachii",,"Triceps brachii","upper limb",,,"ulna",,,,,,,,,,
"radial collateral","Ligament",,,,,"upper limb","forearm",,"ulna",,,,,,,,,,
"ulnar collateral","Ligament",,,,,"upper limb","forearm",,"ulna",,,,,,,,,,
"Insertion of Flexor digitorum profundus","Boney feature","insertion","Anterior and medial surfaces of ulna and interosseous membrane ","Flexor digitorum profundus",,"upper limb","forearm","anterior surface","ulna",,,,,,,,,,
"insertion of pronator quadratus","Boney feature","insertion",,"Pronator quadratus",,"upper limb","forearm","Distal anterior surface","ulna",,,,,,,,,,
"coranoid process","Boney feature","process",,"Pronator teres",,"upper limb","forearm",,"ulna",,,,,,,,,,
"radial notch","Boney feature","notch",,,,"upper limb","forearm",,"ulna",,"Proximal Radioulnar Joint",,,,,,,,
"supinator crest","Boney feature","origin","Origin of Supinator deep head","Supinator deep head",,"upper limb","forearm",,"ulna",,,,,,,,,,
"supinator fossa","Boney feature","fossa",,,,"upper limb","forearm",,"ulna",,,,,,,,,,
"anular","Ligament",,"ligament that wraps around the head of the radius ",,,"upper limb","forearm",,,,,,,,,,,,
"oblique line","Boney feature","insertion","insertion of the supinator",,"supinator  ","upper limb","forearm","Lateral surface of radius","radius",,,,,,,,,,
"superior to the oblique line ","Boney feature","insertion","insertion of the supinator",,"supinator  ","upper limb","forearm","Lateral surface of radius","radius",,,,,,,,,,
"Origin of Flexor digitorum superficialis","Boney feature","origin","Origin of Flexor digitorum superficialis",,,"upper limb","forearm","anterior border","radius",,,,,,,,,,
"origin of flexor pollicis longus","Boney feature","origin","Flexor pollicis longus origin with interosseous membrane ","Flexor pollicis longus ",,"upper limb","forearm","Anterior surface","radius",,,,,,,,,,
"head of the radius","Boney feature","articulation","head of the radius",,,"upper limb","forearm","proximal end of radius","radius",,"Proximal Radioulnar Joint",,,,,,,,
"head of the radius","Boney feature","articulation","head of the radius",,,,,"proximal end of radius","radius",,"elbow",,,,,,,,
"neck of radius","Boney feature","neck","neck of radius",,,,,"proximal end of radius","radius",,,,,,,,,,
"Lateral surface","Boney feature",,"Lateral surface","Pronator teres",,,,"shaft of radius","radius",,"elbow",,,,,,,,
"radial tuberosity","Boney feature","tuberosity","radial tuberosity",,"biceps brachii",,,"shaft of radius","radius",,"elbow",,,,,,,,
"ulnar notch","Boney feature","notch","ulnar notch",,,,,"distal end of radius","radius",,,,,,,,,,
"radial styloid process","Boney feature","process","radial styloid process",,,,,"distal end of radius","radius",,"Radiocarpal",,,,,,,,
,"Boney feature",,,,,,,"Lateral distal end of radius","radius",,"elbow",,,,,,,,
,"Boney feature",,,,,,,"Distal anterior surface","radius",,,,,,,,,,
"dorsal tubercle of the radius","distal end of radius","tubercle","dorsal tubercle of the radius",,,,,"distal end of radius","radius",,,,,,,,,,
"shaft","Boney feature",,"Metacarpal 1 shaft",,,"upper limb","hand","metacarpal","first metacarpal",,,,,,,,,,
"shaft","Boney feature",,"Metacarpal 2 shaft",,,"upper limb","hand","metacarpal","Second metacarpal",,,,,,,,,,
"shaft","Boney feature",,"Metacarpal 3 shaft",,,"upper limb","hand","metacarpal","third metacarpal",,,,,,,,,,
"shaft","Boney feature",,"Metacarpal 4 shaft",,,"upper limb","hand","metacarpal","fourth metacarpal",,,,,,,,,,
"shaft","Boney feature",,"Metacarpal 5 shaft",,,"upper limb","hand","metacarpal","fifth metacarpal",,,,,,,,,,
"collateral","Ligament",,"Metacarpal 1",,,"upper limb","hand",,"Metacarpal 1",,"Metacarpophalangeal","Metacarpophalangeal 1",,,,,,,
"collateral","Ligament",,"Metacarpal 2",,,"upper limb","hand",,"Metacarpal 2",,"Metacarpophalangeal",,,,,,,,
"collateral","Ligament",,"Metacarpal 3",,,"upper limb","hand",,"Metacarpal 3",,"Metacarpophalangeal",,,,,,,,
"collateral","Ligament",,"Metacarpal 4",,,"upper limb","hand",,"Metacarpal 4",,"Metacarpophalangeal",,,,,,,,
"collateral","Ligament",,"Metacarpal 5",,,"upper limb","hand",,"Metacarpal 5",,"Metacarpophalangeal",,,,,,,,
"Metacarpal 1 base","Boney feature","origin","origin of opponens pollicis and abductor pollicis longus","Opponens pollicis",,"upper limb","hand","Metacarpal 1 base","Metacarpal 1",,,,,,,,,,
"Metacarpal 1 base","Boney feature","origin","origin of opponens pollicis and abductor pollicis longus","Abductor pollicis longus ",,"upper limb","hand","Metacarpal 1 base","Metacarpal 1",,,,,,,,,,
"Metacarpal 2 base","Boney feature","insertion","Flexor carpi radialis",,"Flexor carpi radialis","upper limb","hand","Metacarpal 2 base","Metacarpal 2",,,,,,,,,,
"Metacarpal 2 base","Boney feature","insertion","Extensor carpi radialis longus ",,"Extensor carpi radialis longus ","upper limb","hand","Metacarpal 2 base","Metacarpal 2",,,,,,,,,,
"Metacarpal 2 base","Boney feature","insertion","Extensor carpi radialis brevis ",,"Extensor carpi radialis brevis ","upper limb","hand","Metacarpal 2 base","Metacarpal 2",,,,,,,,,,
"Metacarpal 3 base","Boney feature",,"Extensor carpi radialis brevis ",,"Extensor carpi radialis brevis ","upper limb","hand","Metacarpal 3 base","Metacarpal 3",,,,,,,,,,
"Metacarpal 3 base","Boney feature",,"Adductor pollicis Transverse head",,"Adductor pollicis Transverse head","upper limb","hand","Metacarpal 3 base","Metacarpal 3",,,,,,,,,,
"Metacarpal 4 base","Boney feature",,,,,"upper limb","hand","Metacarpal 4 base","Metacarpal 4",,,,,,,,,,
"Metacarpal 5 base","Boney feature",,"Flexor carpi ulnaris ",,"Flexor carpi ulnaris ","upper limb","hand","Metacarpal 5 base","Metacarpal 5",,,,,,,,,,
"Metacarpal 5 base","Boney feature",,"Opponens digiti minimi","Opponens digiti minimi",,"upper limb","hand","Metacarpal 5 base","Metacarpal 5",,,,,,,,,,
"Metacarpal 5 base","Boney feature",,"Flexor policis brevis",,"Flexor policis brevis","upper limb","hand","Metacarpal 5 base","Metacarpal 5",,,,,,,,,,
"Metacarpal 5 base","Boney feature",,"Extensor carpi ulnaris ",,"Extensor carpi ulnaris ","upper limb","hand","Metacarpal 5 base","Metacarpal 5",,,,,,,,,,
"middle phalanx middle finger","Boney feature",,"Insertion of Flexor digitorum superficialis",,"Flexor digitorum superficialis","upper limb","hand","middle phalanx middle finger","middle phalanx middle finger",,,,,,,,,,
"middle phalanx ring finger","Boney feature",,"Insertion of Flexor digitorum superficialis",,"Flexor digitorum superficialis","upper limb","hand","middle phalanx ring finger","middle phalanx ring finger",,,,,,,,,,
"middle phalanx little finger","Boney feature",,"Insertion of Flexor digitorum superficialis",,"Flexor digitorum superficialis","upper limb","hand","middle phalanx little finger","middle phalanx little finger",,,,,,,,,,
"middle phalanx middle finger","Boney feature",,"Flexor digitorum superficialis",,,"upper limb","hand","middle phalanx middle finger","middle phalanx middle finger",,,,,,,,,,
"Base distal phalanx index finger","Boney feature",,"Flexor digitorum profundus",,"Flexor digitorum profundus","upper limb","hand","Base distal phalanx index finger","distal phalanx index finger",,,,,,,,,,
"Base distal phalanx ring finger","Boney feature",,"Flexor digitorum profundus",,"Flexor digitorum profundus","upper limb","hand","Base distal phalanx ring finger","Base distal phalanx ring finger",,,,,,,,,,
"Base distal phalanx little finger","Boney feature",,"Flexor digitorum profundus",,"Flexor digitorum profundus","upper limb","hand","Base distal phalanx little finger","distal phalanx little finger",,,,,,,,,,
"Base distal phalanx middle finger","Boney feature",,"Flexor digitorum profundus",,"Flexor digitorum profundus","upper limb","hand","Base distal phalanx middle finger","distal phalanx middle finger",,,,,,,,,,
"Base distal phalanx thumb","Boney feature",,"Flexor pollicis longus ",,"Flexor pollicis longus ","upper limb","hand","Base distal phalanx thumb","distal phalanx thumb",,,,,,,,,,
"Base distal phalanx index finger","Boney feature",,"Extensor digitorum ",,"Extensor digitorum ","upper limb","hand","Base distal phalanx index finger","distal phalanx index finger",,,,,,,,,,
"distal phalanx ring finger","Boney feature",,"Extensor digitorum ",,"Extensor digitorum ","upper limb","hand","distal phalanx ring finger","distal phalanx ring finger",,,,,,,,,,
"distal phalanx little finger","Boney feature",,"Extensor digitorum ",,"Extensor digitorum ","upper limb","hand","distal phalanx little finger","distal phalanx little finger",,,,,,,,,,
"distal phalanx middle finger","Boney feature",,"Extensor digitorum ",,"Extensor digitorum ","upper limb","hand","distal phalanx middle finger","distal phalanx middle finger",,,,,,,,,,
"distal phalanx thumb","Boney feature",,"Extensor pollicis longus ",,"Extensor pollicis longus ","upper limb","hand","distal phalanx thumb","distal phalanx thumb",,,,,,,,,,
"Base middle phalanx index finger","Boney feature",,"Extensor digitorum ",,"Extensor digitorum ","upper limb","hand","Base middle phalanx index finger","middle phalanx index finger",,,,,,,,,,
"Base middle phalanx ring finger","Boney feature",,"Extensor digitorum ",,"Extensor digitorum ","upper limb","hand","Base middle phalanx ring finger","Base middle phalanx ring finger",,,,,,,,,,
"Base middle phalanx little finger","Boney feature",,"Extensor digitorum ",,"Extensor digitorum ","upper limb","hand","Base middle phalanx little finger","middle phalanx little finger",,,,,,,,,,
"Base middle phalanx middle finger","Boney feature",,"Extensor digitorum ",,"Extensor digitorum ","upper limb","hand","Base middle phalanx middle finger","middle phalanx middle finger",,,,,,,,,,
"Base distal phalanx little finger","Boney feature",,"Extensor digiti minimi ",,"Extensor digiti minimi ","upper limb","hand","Base distal phalanx little finger","distal phalanx little finger",,,,,,,,,,
"Base proximal phalanx index finger","Boney feature",,,,,,,,,,"Metacarpophalangeal",,,,,,,,
"Base proximal phalanx ring finger","Boney feature",,,,,,,,,,"Metacarpophalangeal",,,,,,,,
"Base proximal phalanx little finger",,,,,,,,,,,,,,,,,,,
"Base proximal phalanx little finger","base",,,,,,,,,,"Metacarpophalangeal",,,,,,,,
"Base proximal phalanx middle finger","base",,,,,,,,,,"Metacarpophalangeal",,,,,,,,
"Base Proximal phalanx thumb","base",,,,,,,,,,"Metacarpophalangeal",,,,,,,,
"Base Proximal phalanx thumb",,,,,,,,,,,,,,,,,,,
"Base Proximal phalanx thumb",,,,,,,,,,,,,,,,,,,
"Base Proximal phalanx thumb",,,,,,,,,,,,,,,,,,,
"Base proximal phalanx little finger",,,,,,,,,,,,,,,,,,,
"proximal phalange index finger",,,,,,,,,,,,,,,,,,,
"proximal phalanx ring finger",,,,,,,,,,,,,,,,,,,
"proximal phalanx middle finger",,,,,,,,,,,,,,,,,,,
"Proximal phalanx thumb",,,,,,,,,,,,,,,,,,,
"proximal phalanx little finger",,,,,,,,,,,,,,,,,,,
"proximal phalange index finger",,,,,,,,,,,,,,,,,,,
"proximal phalanx ring finger",,,,,,,,,,,,,,,,,,,
"proximal phalanx middle finger",,,,,,,,,,,,,,,,,,,
"Superior to Acetabulum","Boney feature",,,,,"pelvis",,,,,,,,,,,,,
"Acetabulum","Boney feature",,"fossa on the hip for insertion of humeral head",,,"pelvis",,,,,,,,,,,,,
"lunate surface","cartilage","facet","Articular facet of hip for the insertion of humeral head",,,"pelvis",,,,,,,,,,,,,
"acetabular fossa","Boney feature","fossa",,,,"pelvis",,,,,,,,,,,,,
"Acetabular notch","Boney feature","notch",,,,"pelvis",,,,,,,,,,,,,
"external surface of ilium posterior to gluteal line","Boney feature","line","external surface of ilium posterior to gluteal line","Gluteus maximus",,"pelvis","ilium","lateral surface of ilium","ilium",,,,,,,,,,
"Anterior gluteal line","Boney feature","line","Anterior gluteal line",,,"pelvis","ilium","lateral surface of ilium",,,,,,,,,,,
"Posterior gluteal line","Boney feature","line","Posterior gluteal line",,,"pelvis","ilium","lateral surface of ilium",,,,,,,,,,,
"Anterior inferior iliac spine","Boney feature","spine","Anterior inferior iliac spine",,,"pelvis","ilium","lateral surface of ilium",,,,,,,,,,,
"Intertrochanteric line","Boney feature","line","vastus lateralis","vastus lateralis",,"pelvis","pelvis","lateral surface of ilium",,,,,,,,,,,
"between anterior and posterior gluteal lines","Boney feature",,"gluteus medius","gluteus medius",,"pelvis","pelvis","lateral surface of ilium",,,,,,,,,,,
"Anterior superior iliac spine","Boney feature","spine","sartorius","sartorius",,"pelvis","pelvis","lateral surface of ilium",,,,,,,,,,,
"Anterior superior iliac spine","Boney feature","spine","rectus femoris straight head ","rectus femoris straight head ",,"pelvis","pelvis","lateral surface of ilium",,,,,,,,,,,
"Body of ilium","Boney feature",,"Body of ilium",,,"pelvis","ilium","ilium","ilium",,,,,,,,,,
"Body of ischium","Boney feature",,"Body of ischium",,,"pelvis","ischium","ischium","ischium",,,,,,,,,,
"Body of pubis","Boney feature",,"Body of pubis",,,"pelvis","pubis","pubis","pubis",,,,,,,,,,
"Body of pubis","Boney feature",,"Body of pubis",,,"pelvis","pubis","pubis","pubis",,,,,,,,,,
"Body of pubis","Boney feature",,"Body of pubis",,,"pelvis","pubis","pubis","pubis",,,,,,,,,,
"Greater sciatic notch","Boney feature","notch","Greater sciatic notch",,,"pelvis",,,,,,,,,,,,,
"Iliac crest","Boney feature","crest","Iliac crest",,,"pelvis",,,,,,,,,,,,,
"Iliopubic eminence","Boney feature","line","Iliopubic eminence",,,"pelvis",,,,,,,,,,,,,
"Inferior gluteal line","Boney feature",,"Inferior gluteal line",,,"pelvis",,,,,,,,,,,,,
"Surface of ilium between Inferior and anterior gluteal line","Boney feature",,"Gluteus minimus","Gluteus minimus","Gluteus minimus","pelvis",,,,,,,,,,,,,
